,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
14,Huntingdon,3,2,7,3,0,2021-02-19
15,Laurel Highlands,0,0,11,1,0,2021-02-19
16,Mahanoy,7,1,4,7,0,2021-02-19
17,Mercer,1,1,4,2,0,2021-02-19
18,Muncy,9,7,1,2,0,2021-02-19
19,Phoenix,5,2,12,13,0,2021-02-19
20,Pine Grove,0,0,1,2,0,2021-02-19
21,Quehanna BC,0,0,0,1,0,2021-02-19
22,Rockview,3,2,1,3,0,2021-02-19
23,Smithfield,82,82,6,0,1,2021-02-19
24,Somerset,0,0,4,5,0,2021-02-19
25,Waymart,42,21,12,17,0,2021-02-19
2,Albion,121,79,2,26,0,2021-02-05
3,Benner Township,15,6,5,5,0,2021-02-05
4,Cambridge Springs,4,3,1,5,0,2021-02-05
5,Camp Hill,9,8,3,21,1,2021-02-05
6,Chester,1,0,10,7,0,2021-02-05
7,Coal Township,11,4,0,37,0,2021-02-05
8,Dallas,1,1,9,20,0,2021-02-05
9,Fayette,8,6,2,21,1,2021-02-05
10,Forest,25,13,4,5,0,2021-02-05
11,Frackville,5,4,0,6,0,2021-02-05
12,Greene,7,7,1,7,0,2021-02-05
13,Houtzdale,18,5,1,7,1,2021-02-05
14,Huntingdon,6,4,7,7,0,2021-02-05
15,Laurel Highlands,2,2,11,8,0,2021-02-05
16,Mahanoy,15,1,4,8,0,2021-02-05
17,Mercer,4,3,4,2,0,2021-02-05
18,Muncy,12,10,1,3,0,2021-02-05
19,Phoenix,21,12,12,28,0,2021-02-05
20,Pine Grove,1,1,1,4,0,2021-02-05
21,Quehanna BC,10,0,0,1,0,2021-02-05
22,Rockview,1,1,1,1,0,2021-02-05
23,Smithfield,73,71,6,6,1,2021-02-05
24,Somerset,1,1,4,6,0,2021-02-05
25,Waymart,122,102,8,21,0,2021-02-05
2,Albion,87,39,2,11,0,2021-02-11
3,Benner Township,10,5,6,7,0,2021-02-11
4,Cambridge Springs,3,2,1,4,0,2021-02-11
5,Camp Hill,13,10,3,20,1,2021-02-11
6,Chester,4,3,10,6,0,2021-02-11
7,Coal Township,22,11,0,31,0,2021-02-11
8,Dallas,0,0,9,16,0,2021-02-11
9,Fayette,11,9,2,20,1,2021-02-11
10,Forest,15,7,4,6,0,2021-02-11
11,Frackville,5,4,0,4,0,2021-02-11
12,Greene,4,4,1,2,0,2021-02-11
13,Houtzdale,14,5,1,8,1,2021-02-11
14,Huntingdon,3,1,7,3,0,2021-02-11
15,Laurel Highlands,0,0,11,7,0,2021-02-11
16,Mahanoy,10,1,4,9,0,2021-02-11
17,Mercer,1,1,4,3,0,2021-02-11
18,Muncy,12,11,1,6,0,2021-02-11
19,Phoenix,10,7,12,20,0,2021-02-11
20,Pine Grove,2,2,1,3,0,2021-02-11
21,Quehanna BC,1,0,0,0,0,2021-02-11
22,Rockview,0,0,1,1,0,2021-02-11
23,Smithfield,99,97,6,4,1,2021-02-11
24,Somerset,0,0,4,6,0,2021-02-11
25,Waymart,87,68,11,18,0,2021-02-11
2,Albion,88,58,2,40,0,2021-01-28
3,Benner Township,28,21,5,5,0,2021-01-28
4,Cambridge Springs,5,2,1,5,0,2021-01-28
