date,SCI,incarcerated_person_positive
2021-02-16,Benner,1
2021-02-17,Benner,1
2021-02-18,Benner,0
2021-02-19,Benner,1
2021-02-20,Benner,0
2021-02-22,Benner,0
2021-02-23,Benner,0
2021-02-24,Benner,1
2021-02-25,Benner,0
2021-02-26,Benner,1
2021-02-27,Benner,1
2021-02-28,Benner,0
2021-03-01,Benner,0
2021-03-02,Benner,0
2021-03-03,Benner,0
2021-03-04,Benner,0
2021-03-05,Benner,0
2021-03-06,Benner,0
2021-03-07,Benner,0
2021-03-08,Benner,0
2021-03-09,Benner,0
2021-03-10,Benner,0
2021-03-11,Benner,0
2021-03-12,Benner,0
2021-03-13,Benner,0
2021-03-15,Benner,0
2021-03-16,Benner,1
2021-03-17,Benner,0
2021-03-18,Benner,0
2021-03-19,Benner,0
2021-03-20,Benner,0
2021-03-21,Benner,0
2021-03-22,Benner,0
2021-03-23,Benner,0
2021-03-24,Benner,1
2021-03-25,Benner,0
2021-03-26,Benner,1
2021-03-27,Benner,0
2021-03-29,Benner,0
2021-03-30,Benner,0
2021-03-31,Benner,0
2021-04-01,Benner,1
2021-04-02,Benner,1
2021-04-03,Benner,0
2021-04-05,Benner,0
2021-04-07,Benner,0
2021-04-08,Benner,0
2021-04-09,Benner,0
2021-04-10,Benner,0
2021-04-12,Benner,0
2021-04-13,Benner,0
2021-04-14,Benner,0
2021-04-15,Benner,0
2021-04-16,Benner,0
2021-04-17,Benner,0
2021-04-20,Benner,0
2021-04-21,Benner,0
2021-04-22,Benner,0
2021-04-23,Benner,0
2021-04-24,Benner,0
2021-04-25,Benner,0
2021-04-26,Benner,0
2021-04-27,Benner,0
2021-04-28,Benner,0
2021-04-29,Benner,0
2021-04-30,Benner,0
2021-05-01,Benner,0
2021-05-02,Benner,0
2021-05-04,Benner,1
2021-05-05,Benner,0
2021-05-06,Benner,0
2021-05-07,Benner,0
2021-05-08,Benner,0
2021-05-10,Benner,0
2021-05-11,Benner,0
2021-05-12,Benner,0
2021-05-13,Benner,0
2021-05-14,Benner,0
2021-05-15,Benner,0
2021-05-18,Benner,0
2021-05-19,Benner,0
2021-05-20,Benner,0
2021-05-21,Benner,0
2021-05-22,Benner,0
2021-05-23,Benner,0
2021-05-25,Benner,0
2021-05-26,Benner,0
2021-05-27,Benner,0
2021-05-28,Benner,0
2021-05-31,Benner,0
2021-06-01,Benner,0
2021-06-02,Benner,0
2021-06-03,Benner,0
2021-06-04,Benner,0
2021-06-05,Benner,0
2021-06-06,Benner,0
2021-06-08,Benner,0
2021-06-09,Benner,0
2021-06-10,Benner,0
2021-06-11,Benner,0
2021-06-14,Benner,0
2021-06-15,Benner,0
2021-06-16,Benner,0
2021-06-17,Benner,0
2021-06-18,Benner,0
2021-06-20,Benner,0
2021-06-21,Benner,0
2021-06-22,Benner,0
2021-06-23,Benner,0
2021-06-24,Benner,0
2021-06-25,Benner,0
2021-06-26,Benner,0
2021-06-27,Benner,0
2021-06-28,Benner,0
2021-06-29,Benner,0
2021-06-30,Benner,0
2021-07-01,Benner,0
2021-07-02,Benner,0
2021-07-06,Benner,0
2021-07-07,Benner,0
2021-07-08,Benner,0
2021-07-09,Benner,0
2021-07-10,Benner,0
2021-07-12,Benner,0
2021-07-13,Benner,0
2021-07-14,Benner,0
2021-07-15,Benner,0
2021-07-17,Benner,0
2021-07-20,Benner,0
2021-07-21,Benner,0
2021-07-22,Benner,0
2021-07-23,Benner,0
2021-07-27,Benner,0
2021-07-28,Benner,0
2021-07-29,Benner,1
2021-07-30,Benner,0
2021-07-31,Benner,4
2021-08-02,Benner,0
2021-08-03,Benner,0
2021-08-04,Benner,1
2021-08-05,Benner,3
2021-08-06,Benner,1
2021-08-07,Benner,0
2021-08-10,Benner,0
2021-08-11,Benner,0
2021-08-13,Benner,0
2021-08-16,Benner,0
2021-08-18,Benner,0
2021-08-19,Benner,0
2021-08-20,Benner,0
