County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Cumberland,06/01/2020,0,0.7,56,253370,0,0.28,22.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Lawrence,04/01/2020,0,0.3,2,85512,0,0.33,2.34,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Mercer,09/09/2020,0,0.1,15,109424,0,0.13,13.71,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Montour,03/21/2020,0,,0,18230,0,,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Fulton,12/05/2020,0,0,8,14530,0,0,55.06,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clinton,07/14/2020,0,0,5,38632,0,0,12.94,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Pike,07/15/2020,0,0,21,55809,0,0,37.63,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Juniata,09/15/2020,0,0.1,7,24763,0,0.58,28.27,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lawrence,07/12/2020,0,0,9,85512,0,0,10.52,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Dauphin,05/11/2020,3,2.3,52,278299,1.08,0.82,18.68,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Fulton,03/25/2020,0,0,0,14530,0,0,0,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Susquehanna,12/04/2020,0,0.1,36,40328,0,0.35,89.27,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Northumberland,04/26/2020,0,0,1,90843,0,0,1.1,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Washington,06/19/2020,0,0,6,206865,0,0,2.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Union,11/12/2020,1,0.3,14,44923,2.23,0.64,31.16,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Washington,05/14/2020,0,0,4,206865,0,0,1.93,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Clearfield,08/24/2020,0,0,1,79255,0,0,1.26,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Butler,06/30/2020,0,0,13,187853,0,0,6.92,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Westmoreland,06/10/2020,0,0,38,348899,0,0,10.89,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Snyder,11/15/2020,1,0.3,20,40372,2.48,0.71,49.54,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Centre,09/06/2020,0,0,11,162385,0,0,6.77,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
